,Seq.,President,Party,Bg,Im,Int,IQ,L,WR,AC,EAb,LA,CAb,OA,PL,RC,CAp,HE,EAp,DA,FPA,AM,EV,O
1,1,George Washington,Independent,7,7,1,10,1,6,2,2,1,11,2,18,1,1,1,1,2,2,1,2,1
2,2,John Adams,Federalist,3,13,4,4,24,14,31,21,21,13,8,28,17,4,13,15,19,13,16,10,14
3,3,Thomas Jefferson,Democratic-Republican,2,2,14,1,8,5,14,6,6,4,4,5,5,7,20,4,6,9,7,5,5
4,4,James Madison,Democratic-Republican,4,6,7,3,16,15,6,13,17,10,6,9,10,6,14,7,11,19,11,8,7
5,5,James Monroe,Democratic-Republican,9,14,11,18,6,16,7,10,12,15,17,12,8,11,9,9,10,5,6,9,8
6,6,John Quincy Adams,Democratic-Republican,1,9,6,5,29,19,24,22,23,12,16,29,29,15,17,18,21,15,14,18,18
7,7,Andrew Jackson,Democratic,37,15,29,28,4,4,38,11,9,18,19,6,16,30,25,25,17,23,20,19,19
8,8,Martin Van Buren,Democratic,23,22,27,25,34,28,20,28,27,25,27,16,23,25,31,26,29,27,24,28,25
9,9,William Henry Harrison,Whig,22,38,28,37,44,32,41,38,29,31,37,36,37,42,41,40,42,44,37,39,39
10,10,John Tyler,Independent,34,33,35,34,22,26,37,36,37,34,36,41,40,38,34,36,36,26,32,36,37
11,11,James K. Polk,Democratic,19,10,23,23,9,7,18,7,11,16,12,10,11,22,15,16,12,8,8,13,12
12,12,Zachary Taylor,Whig,30,26,22,32,37,24,26,26,25,32,32,35,32,37,27,33,27,30,26,30,30
13,13,Millard Fillmore,Whig,40,37,36,38,35,38,32,37,39,40,39,40,39,39,37,37,37,37,33,37,38
14,14,Franklin Pierce,Democratic,38,39,38,40,39,38,39,39,40,41,40,39,38,41,40,39,41,39,38,40,40
15,15,James Buchanan,Democratic,36,43,40,39,42,41,40,42,44,42,43,42,41,43,42,43,44,43,44,44,43
16,16,Abraham Lincoln,Republican,28,1,2,2,18,1,1,1,2,1,1,2,4,3,4,2,1,6,2,1,3
17,17,Andrew Johnson,Democratic,42,42,41,42,40,34,43,43,43,44,42,44,43,44,43,42,43,41,43,43,44
18,18,Ulysses S. Grant,Republican,20,24,25,24,26,18,17,27,18,26,26,24,19,24,26,38,24,24,31,24,24
19,19,Rutherford B. Hayes,Republican,35,30,32,29,23,35,23,33,33,30,31,33,30,27,22,30,35,31,28,29,32
20,20,James A. Garfield,Republican,22,25,21,20,41,30,25,25,24,23,24,27,26,34,29,27,34,34,27,25,28
21,21,Chester A. Arthur,Republican,41,31,37,36,17,33,22,30,34,36,35,34,33,33,30,31,25,32,23,31,34
22,22/24,Grover Cleveland,Democratic,26,23,26,27,19,27,22,19,20,19,22,20,27,20,21,23,23,21,15,22,23
23,23,Benjamin Harrison,Republican,33,34,30,35,28,36,33,35,35,35,34,31,28,35,32,34,32,29,29,33,35
24,25,William McKinley,Republican,29,20,20,26,32,22,21,17,19,22,20,11,12,23,16,17,20,14,13,20,20
25,26,Theodore Roosevelt,Republican,5,4,8,6,2,2,15,4,4,5,5,7,7,9,3,5,4,3,5,4,4
26,27,William Howard Taft,Republican,12,28,12,14,27,31,19,23,26,21,23,30,21,16,19,21,18,22,19,23,22
27,28,Woodrow Wilson,Democratic,8,8,19,7,14,11,35,14,14,7,14,8,14,13,11,14,14,11,25,15,11
28,29,Warren G. Harding,Republican,39,41,42,43,33,40,34,40,41,39,41,38,35,36,35,41,38,36,39,41,41
29,30,Calvin Coolidge,Republican,32,36,17,33,13,39,27,32,38,37,33,26,24,31,24,32,33,35,22,32,31
30,31,Herbert Hoover,Republican,13,35,15,13,43,37,36,29,36,29,29,32,33,26,44,35,39,33,40,35,36
31,32,Franklin D. Roosevelt,Democratic,6,3,16,12,5,3,4,3,3,2,3,1,3,2,2,3,3,1,4,3,2
32,33,Harry S. Truman,Democratic,31,16,9,21,12,8,12,8,10,14,10,14,15,17,8,10,7,4,9,7,9
33,34,Dwight D. Eisenhower,Republican,11,18,5,17,7,21,5,5,5,20,7,15,9,5,6,11,8,7,3,6,6
34,35,John F. Kennedy,Democratic,14,5,31,11,31,9,8,12,8,3,11,17,13,12,7,6,15,17,18,12,10
35,36,Lyndon B. Johnson,Democratic,15,11,34,22,25,10,9,9,13,17,9,3,2,8,12,8,5,40,35,17,16
36,37,Richard Nixon,Republican,16,21,43,16,36,12,30,24,28,27,25,22,34,32,23,28,22,16,42,38,29
37,38,Gerald Ford,Republican,18,32,10,30,30,29,11,31,30,33,30,25,25,21,33,24,31,28,21,27,27
38,39,Jimmy Carter,Democratic,25,19,3,15,38,27,29,32,32,24,28,37,36,19,38,22,28,25,34,26,26
39,40,Ronald Reagan,Republican,27,17,24,31,3,13,10,15,7,6,18,4,6,18,18,20,16,12,12,16,13
40,41,George H. W. Bush,Republican,10,27,18,19,20,27,13,20,22,28,21,21,20,29,28,19,26,10,17,21,21
41,42,Bill Clinton,Democratic,21,12,39,8,11,17,3,16,15,8,13,13,18,10,5,12,9,18,30,14,15
42,43,George W. Bush,Republican,17,29,33,41,21,20,28,34,31,38,38,19,22,28,36,29,30,38,36,34,33
43,44,Barack Obama,Democratic,24,11,13,9,15,23,16,18,16,9,15,23,31,14,10,13,13,20,10,11,17
44,45,Donald Trump,Republican,43,40,44,44,10,25,42,41,42,43,44,43,42,40,39,44,40,42,41,42,42
