Date,BRK-B,DIS,F,IBM,MMM,NFLX,PG,QCOM,TSLA,UPS,^GSPC
2022-12-22 00:00:00-05:00,302.69,86.67,10.51,137.3,118.2,297.75,150.3,109.25,125.35,172.42,3822.39
2022-12-23 00:00:00-05:00,306.49,88.01,10.55,138.05,116.79,294.96,150.72,109.41,123.15,173.79,3844.82
2022-12-27 00:00:00-05:00,305.55,86.37,10.41,138.8,116.87,284.17,152.04,108.05,109.1,173.72,3829.25
2022-12-28 00:00:00-05:00,303.43,84.17,10.17,136.46,115.0,276.88,150.07,105.59,112.71,170.46,3783.22
2022-12-29 00:00:00-05:00,309.06,87.18,10.72,137.47,117.21,291.12,150.69,108.42,121.82,172.56,3849.28
2022-12-30 00:00:00-05:00,308.9,86.88,10.81,137.31,116.58,294.88,149.68,108.52,123.18,170.68,3839.5
2023-01-03 00:00:00-05:00,309.91,88.97,10.85,137.95,119.06,294.95,149.69,105.81,108.1,172.1,3824.14
2023-01-04 00:00:00-05:00,314.55,91.98,11.16,138.97,121.67,309.41,150.34,110.09,113.64,173.89,3852.97
2023-01-05 00:00:00-05:00,312.9,91.92,11.38,137.52,119.54,309.7,148.47,107.99,110.34,170.68,3808.1
2023-01-06 00:00:00-05:00,318.69,93.92,11.69,140.05,123.19,315.55,152.01,113.85,113.06,175.7,3895.08
2023-01-09 00:00:00-05:00,315.53,94.77,11.79,139.9,123.26,315.17,150.15,113.13,119.77,178.39,3892.09
2023-01-10 00:00:00-05:00,316.35,95.56,11.93,141.12,124.56,327.54,150.0,115.4,118.85,175.52,3919.25
2023-01-11 00:00:00-05:00,320.37,96.33,12.28,141.57,125.52,327.26,148.79,116.86,123.22,178.92,3969.61
2023-01-12 00:00:00-05:00,318.93,99.81,12.48,141.85,125.75,330.13,147.95,120.02,123.56,179.63,3983.17
2023-01-13 00:00:00-05:00,317.64,99.4,11.82,142.18,125.9,332.82,149.01,118.69,122.4,178.84,3999.09
2023-01-17 00:00:00-05:00,314.86,99.91,11.77,141.5,123.07,326.22,148.57,118.73,131.49,175.75,3990.97
2023-01-18 00:00:00-05:00,308.3,99.04,11.53,136.84,119.33,326.33,144.59,120.46,128.78,173.51,3928.86
2023-01-19 00:00:00-05:00,305.23,99.08,11.32,137.04,115.13,315.78,141.53,116.06,127.17,172.95,3898.85
2023-01-20 00:00:00-05:00,309.87,103.48,11.52,137.61,117.29,342.5,142.08,121.31,133.42,174.89,3972.61
2023-01-23 00:00:00-05:00,310.42,105.69,11.89,138.25,119.21,357.42,140.17,129.34,143.75,177.2,4019.81
2023-01-24 00:00:00-05:00,311.3,106.0,11.84,137.89,111.8,363.83,140.94,129.01,143.89,176.72,4016.95
2023-01-25 00:00:00-05:00,311.9,108.12,11.88,137.18,109.79,367.96,140.84,129.47,144.43,174.24,4016.22
2023-01-26 00:00:00-05:00,310.95,109.7,12.0,131.03,110.39,364.87,140.27,132.23,160.27,176.44,4060.43
2023-01-27 00:00:00-05:00,309.17,109.54,12.33,130.97,112.04,360.77,139.7,131.68,177.9,178.78,4070.56
2023-01-30 00:00:00-05:00,307.33,107.59,11.98,131.86,109.45,353.11,140.13,129.93,166.66,173.76,4017.77
2023-01-31 00:00:00-05:00,311.52,108.49,12.55,131.3,111.88,353.86,141.49,131.49,173.22,181.87,4076.6
2023-02-01 00:00:00-05:00,310.57,109.39,12.81,131.66,112.63,361.99,142.3,136.67,181.41,181.62,4119.21
2023-02-02 00:00:00-05:00,311.86,113.21,13.3,132.92,116.94,366.89,141.29,134.09,188.27,187.82,4179.76
2023-02-03 00:00:00-05:00,308.51,110.71,12.29,133.46,114.22,365.9,141.72,133.27,189.98,188.18,4136.48
2023-02-06 00:00:00-05:00,308.43,109.87,12.21,132.72,113.26,361.48,140.52,131.21,194.76,185.33,4111.08
2023-02-07 00:00:00-05:00,312.97,111.63,12.5,132.39,113.64,362.95,139.15,134.86,196.81,184.87,4164.0
2023-02-08 00:00:00-05:00,308.48,111.78,12.47,132.52,112.04,366.83,137.71,130.46,201.29,182.97,4117.86
2023-02-09 00:00:00-05:00,307.21,110.36,12.53,131.95,109.79,362.5,136.2,128.84,207.32,181.39,4081.5
2023-02-10 00:00:00-05:00,309.89,108.06,12.57,133.78,110.71,347.36,137.4,127.32,196.89,181.86,4090.46
2023-02-13 00:00:00-05:00,313.74,107.66,12.93,135.5,112.07,358.57,139.2,129.15,194.64,184.01,4137.29
2023-02-14 00:00:00-05:00,310.79,107.66,12.81,134.18,111.03,359.96,138.41,130.63,209.25,183.38,4136.13
2023-02-15 00:00:00-05:00,309.63,109.24,12.77,134.57,111.59,361.42,138.1,131.35,214.24,183.45,4147.6
2023-02-16 00:00:00-05:00,308.18,105.83,12.75,133.18,110.32,350.71,136.29,128.48,202.04,182.18,4090.41
2023-02-17 00:00:00-05:00,308.24,105.22,12.73,133.2,111.3,347.96,139.14,126.07,208.31,181.47,4079.09
2023-02-21 00:00:00-05:00,302.72,102.09,12.05,129.94,107.61,337.5,139.04,122.1,197.37,176.76,3997.34
2023-02-22 00:00:00-05:00,303.16,101.68,12.06,129.21,107.31,334.88,139.63,122.35,200.86,174.93,3991.05
2023-02-23 00:00:00-05:00,303.07,101.73,11.92,129.03,107.28,323.65,139.18,124.57,202.07,178.23,4012.32
2023-02-24 00:00:00-05:00,304.02,100.3,11.73,128.81,106.19,317.15,138.39,122.73,196.88,178.44,3970.04
2023-02-27 00:00:00-05:00,304.66,100.45,11.91,128.73,106.65,323.03,138.27,121.82,207.63,180.5,3982.24
2023-02-28 00:00:00-05:00,305.18,99.61,11.92,127.56,106.13,322.13,136.7,121.93,205.71,180.75,3970.15
2023-03-01 00:00:00-05:00,304.62,98.54,12.17,126.47,108.56,313.48,136.8,122.83,202.77,181.34,3951.39
2023-03-02 00:00:00-05:00,307.75,98.92,12.4,127.2,108.25,311.88,139.06,122.93,190.9,182.92,3981.35
2023-03-03 00:00:00-05:00,312.45,101.14,12.92,127.9,109.59,315.18,140.07,122.75,197.79,183.91,4045.64
2023-03-06 00:00:00-05:00,316.97,100.66,12.82,128.44,108.28,312.03,139.48,121.57,193.81,184.74,4048.42
2023-03-07 00:00:00-05:00,311.12,99.06,12.67,126.52,105.49,308.47,136.7,118.37,187.71,181.53,3986.37
2023-03-08 00:00:00-05:00,311.37,99.3,12.82,126.33,105.56,311.79,136.72,120.36,182.0,182.55,3992.01
2023-03-09 00:00:00-05:00,304.82,96.14,12.3,124.46,103.94,297.78,135.72,116.41,172.92,181.14,3918.32
2023-03-10 00:00:00-05:00,303.63,93.57,11.95,123.76,102.5,292.76,136.34,114.4,173.44,179.81,3861.59
2023-03-13 00:00:00-04:00,302.88,92.6,11.88,123.89,101.95,293.51,137.28,113.64,174.48,180.5,3855.76
2023-03-14 00:00:00-04:00,305.33,93.36,11.78,122.97,101.24,294.94,138.98,115.75,183.26,183.3,3919.29
2023-03-15 00:00:00-04:00,297.88,93.1,11.57,121.62,101.24,303.79,140.95,114.69,180.45,182.61,3891.93
2023-03-16 00:00:00-04:00,302.01,94.29,11.67,123.02,102.65,310.06,142.0,119.68,184.13,186.13,3960.28
2023-03-17 00:00:00-04:00,293.51,93.2,11.16,122.03,101.48,303.5,142.04,119.9,180.13,185.01,3916.64
2023-03-20 00:00:00-04:00,301.06,94.22,11.04,124.25,102.75,305.13,144.23,120.98,183.25,181.74,3951.57
2023-03-21 00:00:00-04:00,303.85,96.54,11.58,124.87,102.73,305.79,143.18,122.95,197.58,185.01,4002.87
2023-03-22 00:00:00-04:00,299.73,94.9,11.34,122.38,100.02,293.9,143.09,121.13,191.15,183.77,3936.97
2023-03-23 00:00:00-04:00,298.37,95.83,11.28,121.71,99.49,320.37,142.9,123.29,192.22,183.53,3948.72
2023-03-24 00:00:00-04:00,298.92,94.08,11.37,123.6,99.63,328.39,145.81,123.9,190.41,184.3,3970.99
2023-03-27 00:00:00-04:00,302.14,95.62,11.38,127.57,99.97,327.66,145.04,122.75,191.81,185.54,3977.53
2023-03-28 00:00:00-04:00,302.32,94.82,11.46,127.6,100.22,323.52,145.45,120.5,189.19,185.94,3971.27
2023-03-29 00:00:00-04:00,305.3,96.87,11.9,127.97,101.64,332.03,145.9,124.23,193.88,189.65,4027.81
2023-03-30 00:00:00-04:00,305.08,98.1,12.14,127.48,101.24,338.43,146.53,126.52,195.28,189.27,4050.83
2023-03-31 00:00:00-04:00,308.77,100.13,12.44,129.33,103.54,345.48,147.76,126.7,207.46,192.14,4109.31
2023-04-03 00:00:00-04:00,310.31,99.76,12.52,130.28,103.0,348.28,148.58,123.88,194.77,191.88,4124.51
2023-04-04 00:00:00-04:00,309.07,99.57,12.56,129.83,100.72,346.75,149.3,121.46,192.58,188.8,4100.6
2023-04-05 00:00:00-04:00,310.39,99.91,12.28,130.36,100.76,342.35,150.32,122.19,185.52,187.6,4090.38
2023-04-06 00:00:00-04:00,312.51,99.97,12.18,128.74,100.04,339.33,151.27,122.15,185.06,186.79,4105.02
2023-04-10 00:00:00-04:00,312.62,100.81,12.56,129.27,101.22,338.99,150.02,123.43,184.51,188.45,4109.11
2023-04-11 00:00:00-04:00,313.7,100.42,12.71,128.67,102.99,338.21,149.72,122.72,186.79,190.62,4108.94
2023-04-12 00:00:00-04:00,314.55,97.94,12.51,126.81,102.81,331.03,150.13,119.44,180.54,188.04,4091.95
2023-04-13 00:00:00-04:00,318.05,100.84,12.31,126.18,104.56,346.19,150.83,120.29,185.9,189.18,4146.22
2023-04-14 00:00:00-04:00,319.74,99.9,12.37,126.42,104.19,338.63,150.06,119.33,185.0,191.03,4137.64
2023-04-17 00:00:00-04:00,323.79,100.3,12.52,126.1,105.18,332.72,150.11,118.56,187.04,191.45,4151.32
2023-04-18 00:00:00-04:00,324.63,100.93,12.57,126.06,104.68,333.7,150.27,117.54,184.31,192.27,4154.87
2023-04-19 00:00:00-04:00,323.09,98.75,12.07,124.62,104.49,323.12,150.3,117.72,180.59,194.16,4154.52
2023-04-20 00:00:00-04:00,323.82,98.07,11.72,124.66,103.16,325.35,150.85,117.82,162.99,193.12,4129.79
2023-04-21 00:00:00-04:00,324.33,99.57,11.66,124.04,102.92,327.98,156.07,116.95,165.08,193.35,4133.52
2023-04-24 00:00:00-04:00,326.05,99.68,12.01,123.71,103.49,329.02,156.35,116.54,162.55,193.99,4137.04
2023-04-25 00:00:00-04:00,324.34,98.01,11.77,124.2,102.81,322.55,156.39,113.26,160.67,174.61,4071.63
2023-04-26 00:00:00-04:00,320.53,96.61,11.54,124.16,101.38,321.15,154.58,113.37,153.75,170.93,4055.99
2023-04-27 00:00:00-04:00,326.23,99.93,11.61,125.26,103.75,325.85,156.47,113.13,160.19,176.07,4135.35
2023-04-28 00:00:00-04:00,328.55,102.5,11.88,124.71,104.63,329.93,156.38,115.99,164.31,178.1,4169.48
2023-05-01 00:00:00-04:00,330.17,102.21,12.06,124.39,104.27,324.12,156.57,115.04,161.83,180.47,4167.87
2023-05-02 00:00:00-04:00,325.86,100.6,11.8,123.48,101.44,317.55,156.43,115.31,160.31,176.15,4119.58
2023-05-03 00:00:00-04:00,323.22,100.86,11.79,121.79,101.29,319.3,156.23,112.05,160.61,174.16,4090.75
2023-05-04 00:00:00-04:00,320.0,97.45,11.56,120.92,100.32,320.78,155.51,105.84,161.2,171.64,4061.22
2023-05-05 00:00:00-04:00,323.88,100.52,11.99,121.99,101.8,322.76,156.03,108.03,170.06,174.07,4136.25
2023-05-08 00:00:00-04:00,326.14,102.97,12.02,121.74,100.81,331.21,155.3,107.56,171.79,172.73,4138.12
2023-05-09 00:00:00-04:00,324.87,102.18,11.86,121.17,99.29,332.14,153.71,105.04,169.15,171.36,4119.17
2023-05-10 00:00:00-04:00,322.99,101.14,11.89,122.02,99.39,335.42,154.03,105.73,168.54,169.94,4137.64
2023-05-11 00:00:00-04:00,322.64,92.31,11.87,120.9,99.27,344.76,154.39,103.34,172.08,168.61,4130.62
2023-05-12 00:00:00-04:00,322.49,91.99,11.67,122.84,98.77,339.89,155.96,102.91,167.98,168.5,4124.08
2023-05-15 00:00:00-04:00,323.53,92.86,11.64,123.36,98.99,335.89,156.01,105.55,166.35,168.85,4136.28
2023-05-16 00:00:00-04:00,323.75,90.98,11.25,123.46,96.54,333.75,155.74,103.07,166.52,166.61,4109.9
2023-05-17 00:00:00-04:00,327.39,92.77,11.5,125.71,98.68,339.96,155.08,104.09,173.86,171.36,4158.77
2023-05-18 00:00:00-04:00,329.76,93.76,11.64,126.15,99.64,371.29,152.53,106.22,176.89,171.04,4198.05
2023-05-19 00:00:00-04:00,330.39,91.35,11.65,127.26,99.03,365.36,153.17,105.13,180.14,170.93,4191.98
2023-05-22 00:00:00-04:00,329.13,91.82,11.63,127.5,101.71,363.01,149.16,104.55,188.87,171.51,4192.63
2023-05-23 00:00:00-04:00,323.11,89.82,11.73,128.18,100.7,355.99,147.55,102.85,185.77,169.79,4145.58
2023-05-24 00:00:00-04:00,320.2,89.07,11.33,125.68,96.99,364.85,146.33,102.31,182.9,167.72,4115.24
2023-05-25 00:00:00-04:00,319.02,88.14,11.38,126.76,97.05,359.0,145.39,103.3,184.47,171.23,4151.28
2023-05-26 00:00:00-04:00,320.6,88.29,12.09,128.89,96.94,378.88,145.4,109.59,193.17,171.57,4205.45
2023-05-30 00:00:00-04:00,322.19,87.82,12.59,129.48,96.06,392.98,143.18,115.2,201.16,169.76,4205.52
2023-05-31 00:00:00-04:00,321.08,87.96,12.0,128.59,93.31,395.23,142.5,113.41,203.93,167.0,4179.83
2023-06-01 00:00:00-04:00,323.12,88.59,12.11,129.82,94.28,403.13,143.96,115.83,207.52,167.83,4221.02
2023-06-02 00:00:00-04:00,329.48,90.77,12.39,132.42,102.53,400.47,146.52,115.62,213.97,170.14,4282.37
2023-06-05 00:00:00-04:00,328.58,91.0,12.59,132.64,97.98,403.54,145.94,112.73,217.61,167.85,4273.79
2023-06-06 00:00:00-04:00,333.41,92.16,12.93,132.69,98.29,399.29,144.49,116.36,221.31,167.59,4283.85
2023-06-07 00:00:00-04:00,335.42,92.52,13.59,134.38,101.0,399.77,144.8,115.18,224.57,171.5,4267.52
2023-06-08 00:00:00-04:00,335.95,92.53,13.58,134.41,100.76,409.37,146.44,116.35,234.86,171.48,4293.93
2023-06-09 00:00:00-04:00,335.29,91.93,13.74,135.3,99.9,420.02,146.56,119.11,244.4,170.49,4298.86
2023-06-12 00:00:00-04:00,333.6,93.14,13.78,136.42,101.26,423.97,145.41,122.14,249.83,171.5,4338.93
2023-06-13 00:00:00-04:00,336.39,93.85,14.13,137.6,102.74,435.73,145.06,124.43,258.71,172.89,4369.01
2023-06-14 00:00:00-04:00,335.9,92.45,14.2,137.2,101.95,440.86,146.42,123.4,256.79,174.88,4372.59
2023-06-15 00:00:00-04:00,339.82,92.94,14.45,138.4,103.81,445.27,148.45,123.61,255.9,179.0,4425.84
2023-06-16 00:00:00-04:00,338.31,91.32,14.42,137.48,104.54,431.96,149.54,122.68,260.54,178.58,4409.59
2023-06-20 00:00:00-04:00,338.67,89.75,14.22,135.96,102.3,434.7,148.16,119.82,274.45,177.27,4388.71
2023-06-21 00:00:00-04:00,338.61,88.64,14.02,133.69,101.47,424.45,149.44,115.76,259.46,173.63,4365.69
2023-06-22 00:00:00-04:00,336.91,88.39,14.28,130.91,100.27,420.61,149.79,116.36,261.47,172.37,4368.72
